input,output,instruction,data_source
,"This collaboration likely focuses on software development and it solutions, enhancing technology transfer and practical training opportunities for students.",What kind of collaboration is established with garuda uae soft solutions pvt.. Ltd.. Through their mou?,IIIT-A MoU Documentation
,"The aim is likely to advance research in areas like electronics and communication engineering, with potential access to advanced technologies and equipment.",What is the aim of the mou between iiit allahabad and keysight technologies india pvt.. Ltd.?,IIIT-A MoU Documentation
,"The extended mou likely benefits both institutions by continuing successful academic collaborations, student exchanges, and joint research initiatives.",How does the extension of the mou with sahyadri college of engg.. & mgt.. Benefit both institutions?,IIIT-A MoU Documentation
,This partnership likely focuses on academic collaborations that enhance educational offerings and research opportunities in information technology.,"Describe the partnership between rr institute of information technology, lucknow, and iiit allahabad.",IIIT-A MoU Documentation
,"The collaboration probably focuses on consultancy in it and management, providing students and faculty with real-world industry challenges and solutions.",What is the focus of the collaboration with 3sr consultancy llp ncr (delhi)?,IIIT-A MoU Documentation
,"This mou fosters local academic cooperation, sharing resources, and enhancing research through joint ventures and academic exchanges.","How does the mou with motilal nehru national institute of technology allahabad, prayagraj, benefit iiit allahabad?",IIIT-A MoU Documentation
,"The collaboration with c3ihub at iit kanpur is significant for cybersecurity research and innovation, providing iiit allahabad access to cutting-edge security technologies and expertise.","What is the significance of the collaboration with c3ihub, indian institute of technology kanpur?",IIIT-A MoU Documentation
,"This mou likely aligns with fostering research and development in energy and petroleum technologies, which complements iiit allahabad's engineering and technology focus.","How does the mou with rajiv gandhi institute of petroleum technology, jais up, align with iiit allahabad's goals?",IIIT-A MoU Documentation
,This collaboration probably involves academic exchanges and joint research initiatives in engineering and technology disciplines.,"What does the collaboration with alvas institute of engineering & technology, mangaluru entail?",IIIT-A MoU Documentation
,"The focus is likely on developing technological solutions and instruments, enhancing practical training and research in related fields.","What is the focus of the mou with techskull instruments pvt.. Ltd., greater noida?",IIIT-A MoU Documentation
,This mou likely benefits iiit allahabad by opening channels for academic collaboration and exchange in areas like management and it education.,"How does the mou with macfast institute, tiruvalla, benefit iiit allahabad?",IIIT-A MoU Documentation
,"This partnership likely focuses on academic and cultural exchange, enhancing research and education in fields mutual to both institutions.","What type of partnership does the mou between iiit allahabad and stifing university, hildesheim, germany establish?",IIIT-A MoU Documentation
,"The collaboration with iit kanpur, particularly through the c3ihub, focuses on innovations in cybersecurity, providing a platform for joint research and development.",What does the collaboration with the indian institute of technology kanpur focus on?,IIIT-A MoU Documentation
,"The mou between iiit allahabad and the university of messina focuses on enhancing academic and research cooperation, particularly in areas of mutual interest in technology and science.","Describe the nature of the mou between iiit allahabad and the university of messina, italy.",IIIT-A MoU Documentation
,"Iiit-a is global institute and therefore excellence of the institute is derived from the best that it can capture from the leading institutes in the world.. This is the best facilitated by signing strategized mous with every aspect of teaching or research associated with the institute.. The institute emphasises to function as an institute at a global level to solve the most challenging problems through research and to supply highest manpower who in turn join different organizations to solve challenging world problems.. The institute believes in wide networking and outreach to get the best resources for mutual benefit.. The institute has collaborated with various institutions through memorandum of understandings (mous).. While the mous with world class universities like university of messina, itlay and university of california are to enhance and elevate the research and development activities and knowledge acquisition.. Iiita has collaborated with the indian space research organization (isro) of the department of space, government of india, bengaluru.. An organization of national honour and prestige headquartered at antariksh bhavan, bangalore pioneering in science and technology related to space and allied areas of technology.. Isro-iiita mou sl.. Mou 1.. Mou between iiit-a and entrepreneurship development institute of india (edii) ahmedabad 2.. Mou between iiit-a and instituto de robotica para la dependencia (ird), barcelona 3.. Mou between iiit-a and university of rochester, rochester, ny, u.s.a.. 4.. Mou between iiit-a and aeon learning pvt.. Ltd.. Bangalore 5.. Mou between iiit-a and mtov inc.. (mr.. Dhananjay singh), south korea 6.. Mou between iiit-a and university of messina italy 7.. Mou between iiit-a and global academy of technology (gat), bangalore 8.. Mou between iiit-a and mahatma gandhi chitrakootgramodaya vishwavidyalaya, chitrakoot, satna (m.p.) 9.. Mou between iiit-a and university of peradeniya, peradeniya sri lanka, 10.. Consultancy project cum ph.d.. Sponsorship by m/s nav ajna to iiit  allahabad 11.. Collaboration between iiit-a and university of auckland, new zealand 12.. Mou between iiit-a and isro (signed on 23.07.2019) 13.. Mou between iiit-a and garuda uae soft solutions pvt.. Ltd.. 14.. Mou between keysight technologies india pvt.. Ltd.. 15.. Mou between iiit-a and stifing university, hildesheim, germany 16.. Extension of mou between iiit-a and sahyadri college of engg.. & mgt.. 17.. Memorandum of understanding between rr institute of information technology, lucknow (rrimt) and indian institute of information technology, allahabad 18.. 3sr consultancy llp ncr (delhi) 19.. Motilal nehru national institute of technology allahabad, prayagraj 20.. C3ihub, indian institute of technology kanpur 21.. Rajiv gandhi institute of petroleum technology, jais up 22.. Alvas institute of engineering & technology mangaluru 23.. Techskull instruments pvt.. Ltd.. Grater noida 24.. Macfast institute, tiruvalla",Tell me about the memorandum of understanding of iiit allahabad or iiit a,IIIT-A MoU Documentation
,The image super-resolution project at iiit-allahabad focuses on enhancing image quality through advanced algorithms.. It is led by dr.. Satish kumar singh and is sponsored by the drdo for the year 2020-21.,"What is the focus of the image super-resolution project at iiit-allahabad, and who is leading it?",ACADEMIC PROJECTS
,"The project aimed at detecting and blocking obscene content online is a web browser-based intelligent kernel tool.. It is coordinated by prof.. P.. Nagabhushan, dr.. Satish kr.. Singh, and dr.. Mohammed javed, funded by bpr&d, and runs from 2020 to 2022.","Which project at iiit-allahabad is aimed at detecting and blocking obscene content online, and who are the coordinators?",ACADEMIC PROJECTS
,"The development of application oriented ai systems project at iiit-allahabad aims to create ai systems tailored for specific applications.. The project is coordinated by prof.. U.s.. Tiwary, dr.. Bibhash ghosal, and dr.. Jagpreet singh, with funding from meity, and is scheduled to run from 2020 to 2023.","What are the goals of the development of application oriented ai systems project at iiit-allahabad, and who are involved?",ACADEMIC PROJECTS
,"The project focused on fingerprint analysis at iiit-allahabad utilizes sensor networks and the internet of things to enhance fingerprint analysis technologies.. Prof.. Shirshu varma is leading this initiative, with sponsorship from pragmalytics technologies.",Can you describe the project focused on fingerprint analysis using sensor networks at iiit-allahabad?,ACADEMIC PROJECTS
,"The development of kit for simultaneous isolation of viral rna project at iiit-allahabad is focused on creating a kit that uses magnetic nanoprobes for rna isolation and rapid detection of novel coronavirus using highly luminescent gold nanoclusters.. It is led by dr.. Amaresh kumar sahoo, funded by the dbt, and spans the year 2020-21.","What is the development of kit for simultaneous isolation of viral rna project about, and who is leading it?",ACADEMIC PROJECTS
,"The institute offers four-year, full-time residential b.tech.. Degree programs in information technology, electronics and communications engineering, and information technology with specialisation in business informatics.",What b.tech.. Programs does the institute offer and what is their duration?,ACADEMIC ADMISSIONS
,Admissions to the b.tech.. Programs are based on jee mains scores and are processed through csab.. Applicants must have passed class xii as per jee mains criteria.,What are the admission criteria for the b.tech.. Programs at the institute?,ACADEMIC ADMISSIONS
,There are a total of 267 seats available for the b.tech.. In information technology program.,How many total seats are available for the b.tech.. In information technology program?,ACADEMIC ADMISSIONS
,The b.tech.. In electronics and communications engineering program has a total of 132 seats.,What is the total seat allocation for the b.tech.. In electronics and communications engineering (ece) program?,ACADEMIC ADMISSIONS
,"The b.tech.. In information technology with specialisation in business informatics has a total of 40 seats, distributed among various categories including general, ews, obc, sc, st, and different pwd categories.",How does the seat matrix break down for the b.tech.. In information technology with specialisation in business informatics?,ACADEMIC ADMISSIONS
,"For the b.tech.. In electronics and communications engineering program, there are 50 seats allocated for the general category.",What is the general seat allocation for the b.tech.. In electronics and communications engineering program?,ACADEMIC ADMISSIONS
,The b.tech.. In information technology program allocates 25 seats for students from the economically weaker sections (ews).,How many seats are designated for the economically weaker sections (ews) in the b.tech.. In information technology program?,ACADEMIC ADMISSIONS
,"The institute provides specific seat allocations for students with disabilities across various categories, including pwd-gen, pwd-obc, pwd-sc, and pwd-st, in each of the b.tech.. Programs.",What special considerations are there for students with disabilities in the b.tech.. Programs?,ACADEMIC ADMISSIONS
,Applicants seeking more information about the admissions process for the electronics and communications engineering program can visit the department of ece's website at https://ece.iiita.ac.in/.,Where can applicants find more detailed information about the admissions process for the electronics and communications engineering program?,ACADEMIC ADMISSIONS
,"Yes, detailed information about the b.tech.. In information technology with specialisation in business informatics can be found at https://bussinfo.iiita.ac.in/.",Are there specific websites for detailed program information on the b.tech.. In information technology with specialisation in business informatics?,ACADEMIC ADMISSIONS
,"The institute offers two-year, full-time residential m.tech.. Degree programs with various specializations in it, ece, bioinformatics, and biomedical engineering, including dual degree options integrating m.tech and ph.d.",What m.tech.. Programs are offered at the institute and what is their duration?,ACADEMIC ADMISSIONS
,"Admissions to the m.tech.. Programs are based on gate scores and are processed through ccmt.. Eligible applicants include those with a b.tech.. Or m.sc.. Degree, including final year students.",What are the admission criteria for the m.tech.. Programs at the institute?,ACADEMIC ADMISSIONS
,"The total number of seats available for the m.tech in it with specialization in machine intelligence is not specified in the document, but the general format for seat allocations is given for similar programs.",How many total seats are available for the m.tech in it with specialization in machine intelligence?,ACADEMIC ADMISSIONS
,"The m.tech.. In it program offers specializations in human computer interaction, machine learning and intelligent systems, robotics and machine intelligence, software engineering, data engineering, cyber law and information security, and wireless communications and computing.",What specializations are available under the m.tech.. In it program?,ACADEMIC ADMISSIONS
,"The m.tech.. Ece program offers specializations in microelectronics and communication engineering.. For example, the m.tech (ece) with specialization in microelectronics has a total of 22 seats, and the communication engineering specialization has 23 seats.",Can you list the specializations available for the m.tech.. Ece program and the seat matrix for each specialization?,ACADEMIC ADMISSIONS
,The dual degree m.tech (it) – ph.d.. Program with a specialization in network & security has 4 seats available.,How many seats are available for the dual degree m.tech (it) – ph.d.. Program with a specialization in network & security?,ACADEMIC ADMISSIONS
,"The eligibility requirement for the m.tech programs is a b.tech.. Degree or m.sc.. Degree, with applicants in their final year also being eligible if they are gate qualified.",What is the eligibility requirement for the m.tech programs at the institute?,ACADEMIC ADMISSIONS
,Prospective students can find more information about the m.tech in bioinformatics program on the institute's website at https://as.iiita.ac.in/.,Where can prospective students find more information about the m.tech in bioinformatics program?,ACADEMIC ADMISSIONS
,The total number of seats for the dual degree m.tech (ece) – ph.d.. With a specialization in communication engineering is 2.,What is the total number of seats for the dual degree m.tech (ece) – ph.d.. With a specialization in communication engineering?,ACADEMIC ADMISSIONS
,The admission to the m.tech programs is made on the basis of gate scores through the centralized counselling for m.tech/m.arch/m.plan (ccmt).,What are the gate admission processes for the m.tech programs?,ACADEMIC ADMISSIONS
,"The seat distribution details for the m.tech in it with specialization in human computer interaction specifically aren't provided in the excerpt, but the format for seat allocations for other specializations suggests a comprehensive categorization across various reserved categories.",What is the seat distribution for the m.tech in it with specialization in human computer interaction?,ACADEMIC ADMISSIONS
,"Admissions to the dual degree m.tech (ece) – ph.d.. Programs are managed based on gate scores through the ccmt, similar to the regular m.tech programs.",How are admissions to the dual degree m.tech (ece) – ph.d.. Programs managed?,ACADEMIC ADMISSIONS
,"The pdf does not specify multiple specializations under m.tech bioinformatics, implying a focused approach towards bioinformatics itself, possibly integrated with a ph.d.. Option as well.",What are the available specializations under the m.tech bioinformatics program?,ACADEMIC ADMISSIONS
,The m.tech in biomedical engineering program has a total of 20 seats available.,What are the total seats available for the m.tech in biomedical engineering program?,ACADEMIC ADMISSIONS
,"Further details on the m.tech programs can be obtained from the respective departmental websites: for it programs at https://it.iiita.ac.in/, for ece at https://ece.iiita.ac.in/, and for bioinformatics at https://as.iiita.ac.in/.",What websites offer further details on the m.tech programs?,ACADEMIC ADMISSIONS
,"The institute's health center operates 24x7, offering opd care, first aid, and treatment for minor ailments and wounds.. It also has a multi-bed hospital for more serious conditions, with facilities like ecg and pathology available on weekdays.. The medical claim and accidental insurance policy (mcaip) covers timely hospitalizations and treatments.. An ambulance is available around the clock for emergencies to transport patients to nazareth hospital and srn hospital.. Homeopathic treatment and a gynecologist are also available on selected days.. Additionally, students are required to disclose any chronic illnesses like asthma or diabetes at admission to ensure proper care.",What are the health facilities available at the institute's health center?,CAMPUS HEALTH FACILITIES
,"The section facilitates admissions for all undergraduate programs through csab & dasa, m.tech and dual degree m.tech-ph.d.. Programs through ccmt, and mba & ph.d.. Through an institute-level examination.. After admission, students must report to this cell to complete other formalities, receive their registration number, and have their records maintained.","How does the admission, assessment & award section handle student admissions at iiit-a?",ADMISSION & ASSESSMENT PROCEDURES
,"The section conducts three assessments named c1, c2, and c3, as well as the summer semester.. Results are declared on the aviral portal, where students must log in individually to view their results.","How are assessments and results managed by the admission, assessment & award section?",ADMISSION & ASSESSMENT PROCEDURES
,The section is responsible for printing degrees and distributing them by organizing a convocation during august and september every year.,What is the procedure for degree issuance and convocation at iiit-a?,ADMISSION & ASSESSMENT PROCEDURES
,"Other tasks include issuing bonafide certificates, verifying documents, preparing and issuing i-cards, issuing attendance sheets for students, and providing data and other information for the institute’s convocation.","What are some of the other tasks handled by the admission, assessment & award section?",ADMISSION & ASSESSMENT PROCEDURES
,"Students can view their semester results by logging into the aviral portal, where individual results are made available.",Where do students view their semester results at iiit-a?,ADMISSION & ASSESSMENT PROCEDURES
,Iiit-a was ranked at the 189th position in the qs asia university rankings for southern asia in 2024.,What was iiit-allahabad's position in the qs asia university rankings for southern asia in 2024?,IIIT-Allahabad's rankings 
,Iiit-a was positioned in the 601-650 band in the qs asia university rankings in 2024.,Where did iiit-allahabad stand in the qs asia university rankings in 2024?,IIIT-Allahabad's rankings 
,Iiit-a stood at the 11th position in the india today 2023 engineering college ranking.,What rank did iiit-allahabad achieve in the india today 2023 engineering college ranking?,IIIT-Allahabad's rankings 
,Iiit-a was ranked 89th in the nirf-2023.,What was iiit-allahabad's rank in the nirf-2023?,IIIT-Allahabad's rankings 
,Iiit-a was ranked in the 81-89 band in india by the qs asia university rankings in 2023.,What was iiit-allahabad's position in the qs asia university rankings in india in 2023?,IIIT-Allahabad's rankings 
,Iiit-a was ranked 25th in india by the qs world university rankings by subject 2023 for computer science and information systems,What was iiit-allahabad's qs world university ranking by subject for computer science and information systems in 2023?,IIIT-Allahabad's rankings 
,Iiit-a stood at the 93rd position in the nirf india rankings 2022 in the engineering category.,What was iiit-allahabad's nirf ranking in the engineering category in 2022?,IIIT-Allahabad's rankings 
,Iiit-a was ranked 10th in the india today 2022 engineering college ranking.,Where did iiit-allahabad rank in the india today 2022 engineering college ranking?,IIIT-Allahabad's rankings 
,Iiit-a was ranked at the 23rd position in the education world india 2020 ranking.,What position did iiit-allahabad achieve in the education world india ranking in 2020?,IIIT-Allahabad's rankings 
,Iiit-a stood at the 40th position in the qs india university ranking in 2020.,What was iiit-allahabad's ranking in the qs india university ranking in 2020?,IIIT-Allahabad's rankings 
,The nirf ranking for iiit-allahabad in 2019 is 82.,What was iiit-allahabad's nirf ranking in 2019?,IIIT-Allahabad's rankings 
,The nirf ranking for iiit-allahabad in 2018 is 90,What was iiit-allahabad's nirf ranking in 2018?,IIIT-Allahabad's rankings 
,"IIIT Allahabad's campus infrastructure plays a crucial role in providing a conducive learning environment. With multiple computer centers, labs, lecture halls, and a central library, students have access to state-of-the-art facilities for their academic pursuits. The presence of Ph.D. scholar cubicles and residential quarters ensures that researchers and faculty members can focus on their work without distractions. Additionally, the recreational facilities, sports complex, and transportation services contribute to a holistic campus experience, fostering not just academic growth but also overall well-being.",How does IIIT Allahabad's campus infrastructure contribute to a conducive learning environment for students and researchers?,CAMPUS FACILITY
,"Kendriya Vidyalaya Jhalwa, established within IIIT Allahabad's campus, has had a significant impact on the educational landscape. Offering education from Class 1 to Class 12, it provides a seamless educational pathway for students within the campus premises. The accolades received as the best Kendriya Vidyalaya in KV-Varanasi Zone reflect the institution's commitment to quality education. By catering to the educational needs of children of campus residents, faculty, and staff, Kendriya Vidyalaya Jhalwa enhances the overall educational ecosystem of IIIT Allahabad.",How has the presence of Kendriya Vidyalaya Jhalwa impacted the educational landscape within IIIT Allahabad's campus?,CAMPUS FACILITY
," IIIT Allahabad has implemented comprehensive transportation arrangements to connect its campus with central Allahabad and cater to the commuting needs of its stakeholders. This includes regular bus services for students from the Jhalwa campus to central Allahabad, ensuring convenient travel options. The institute also runs dedicated bus services for employees, further enhancing accessibility. Additionally, arrangements are made for school-going children residing on campus, addressing their daily commuting requirements. The presence of a dedicated transportation cell ensures efficient coordination and management of all transportation-related issues, including facilitating transportation for visiting faculty and guests.",Could you elaborate on the transportation arrangements made by IIIT Allahabad to connect its campus with central Allahabad and facilitate commuting for various stakeholders?,CAMPUS FACILITY
,"IIIT Allahabad offers a range of residential quarters for its staff, faculty, and officers, catering to diverse accommodation needs. The residential units, categorized by type and size, provide spacious living spaces equipped with essential amenities such as computers, 24-hour backup power, and water supply. This ensures a comfortable living environment for residents, allowing them to focus on their work and academic responsibilities. The guest accommodation options, including an air-conditioned guest house, faculty hostels, and an executive guest house, provide a welcoming and convenient stay for visiting guests, dignitaries, and faculty members from other institutions. These accommodations, coupled with the institute's hospitality services, enhance the overall experience of residents and visitors alike.",How do the residential quarters and guest accommodation options at IIIT Allahabad contribute to the overall experience of its residents and visitors?,CAMPUS FACILITY
," IIIT Allahabad's campus boasts modern amenities such as multiple computer centers with labs, lecture halls, a central library, an indoor auditorium, sports facilities including a 500-seat sports complex, residential quarters, and recreational facilities like a swimming pool and squash court. These features cater to the academic, residential, and leisure needs of students, faculty, and staff.",What are some of the key features of IIIT Allahabad's campus that contribute to its modern amenities?,CAMPUS FACILITY
," IIIT Allahabad facilitates transportation through regular bus services connecting the Jhalwa campus to central Allahabad for students and dedicated bus services for employees. Additionally, arrangements are made for school-going children and visiting faculty, managed by a dedicated transportation cell. These efforts ensure smooth commuting experiences for all stakeholders.","How does IIIT Allahabad ensure transportation convenience for its stakeholders, including students, employees, and visiting faculty?",CAMPUS FACILITY
,"IIIT Allahabad offers various accommodation options, including an air-conditioned guest house with suites, faculty hostels, and an executive guest house for special dignitaries. These accommodations are equipped with computers, 24-hour backup power, and water supply, providing comfortable stays for visitors and faculty members.","Can you describe the accommodation options available at IIIT Allahabad for visiting guests, faculty, and staff?",CAMPUS FACILITY
," Kendriya Vidyalaya Jhalwa, established on the campus, offers education from Class 1 to Class 12 and has been recognized as the best Kendriya Vidyalaya in KV-Varanasi Zone. This presence enhances the educational ecosystem, providing seamless educational pathways for children of residents, faculty, and staff, thereby enriching the overall educational experience.",How has the presence of Kendriya Vidyalaya Jhalwa within IIIT Allahabad's campus contributed to the educational environment?,CAMPUS FACILITY
,"The transportation cell at IIIT Allahabad coordinates all transportation issues, including regular bus services for students, dedicated services for employees, arrangements for school-going children, and transportation for visiting faculty. This centralized management ensures efficient and convenient transportation for all stakeholders.",What role does the transportation cell play in managing transportation-related issues at IIIT Allahabad?,CAMPUS FACILITY
,"IIIT Allahabad's campus infrastructure includes multiple computer centers with labs, lecture halls, and a central library, providing essential resources for academic and research pursuits. Additionally, the presence of Ph.D. scholar cubicles and residential quarters ensures a conducive environment for focused study and research work.", How does IIIT Allahabad's campus infrastructure support academic and research activities?,CAMPUS FACILITY
," IIIT Allahabad offers recreational facilities such as an indoor auditorium, sports pavilion, swimming pool, squash court, and other amenities for leisure activities. These facilities cater to the holistic well-being of campus residents, providing opportunities for relaxation and physical activity.",What recreational and leisure facilities are available on IIIT Allahabad's campus?,CAMPUS FACILITY
,"IIIT Allahabad provides various types of residential units, categorized by size and amenities, to accommodate its staff, faculty, and officers. These units offer spacious living spaces equipped with computers, 24-hour backup power, and water supply, ensuring comfortable residential experiences.","How does IIIT Allahabad accommodate the residential needs of its staff, faculty, and officers?",CAMPUS FACILITY
,Kendriya Vidyalaya Jhalwa offers education from Class 1 to Class 12 and has been recognized as the best Kendriya Vidyalaya in KV-Varanasi Zone. Its educational offerings and achievements contribute significantly to the overall educational environment within IIIT Allahabad's campus,Could you elaborate on the educational offerings and achievements of Kendriya Vidyalaya Jhalwa?,CAMPUS FACILITY
,"IIIT Allahabad manages transportation services through regular bus services for students and dedicated services for employees. The institute also coordinates arrangements for school-going children and transportation for visiting faculty through a dedicated transportation cell, ensuring efficient management and maintenance of transportation services.",How does IIIT Allahabad manage and maintain its transportation services for various stakeholders?,CAMPUS FACILITY
," Short: Labs, lecture halls, library, sports facilities, residential quarters.",What are the main facilities available at IIIT Allahabad's campus?,CAMPUS FACILITY
,"Regular bus services, dedicated transportation cell",How is transportation facilitated for students and employees at IIIT Allahabad?,CAMPUS FACILITY
,"IIIT Allahabad offers multiple types of residential quarters including Type-A, Type-B, Type-C, Type-D, Type-E, and Type-F units, along with a Director Residence & Camp Office. These units vary in size and are equipped with necessary amenities like computers, 24-hour backup power, and water supply to cater to the needs of its occupants.","What residential units are available for staff, faculty, and officers at IIIT Allahabad?",CAMPUS FACILITY
,There are 5 units of Type-F residential quarters.,How many units of Type-F residential quarters are there?,CAMPUS FACILITY
,The Central library is equipped with all necessary facilities for students and faculty,What facilities are available at the Central library?,CAMPUS FACILITY
,There are cubicles for more than 100 Ph.D. scholars.,How many Ph.D. scholar cubicles are there on the Jhalwa campus?,CAMPUS FACILITY
,The Executive Guest House has a plinth area of 426 square meters,What is the plinth area of the Executive Guest House?,CAMPUS FACILITY
,The sports complex within the main campus has a seating capacity of 500 seats.,What is the seating capacity of the sports complex at IIIT Allahabad?,CAMPUS FACILITY
,"Each Computer Center has fifteen labs, totaling thirty labs between CC1 and CC2.",How many labs are there in Computer Centers CC1 and CC2?,CAMPUS FACILITY
,"IIIT Allahabad has Type-A, Type-B, Type-C, Type-D, Type-E, and Type-F residential units, including a Director Residence & Camp Office.",What types of residential units are there for staff and faculty?,CAMPUS FACILITY
,"There's a 40-room air-conditioned guest house with 8 suites, along with faculty hostels and an executive guest house for dignitaries.",What accommodation options are available for visiting guests at IIIT Allahabad?,CAMPUS FACILITY
,"The institute provides regular bus services from the campus to central Allahabad and has dedicated transportation for school children, visiting faculty, and guests.",How is transportation arranged for students and faculty at IIIT Allahabad?,CAMPUS FACILITY
,"The campus offers modern amenities such as computer centers, labs, lecture halls, a library, recreational facilities, and residential units.",What facilities are available at IIIT Allahabad's campus?,CAMPUS FACILITY
,"IIITAÂs campus provides all the modern amenities to it students. The campus spread over 100 acres is located at Jhalwa on the outskirts of Allahabad. The Jhalwa campus comprises two Computer Centers (CC1 and CC2) with fifteen labs each and one Computer Centre CC3 with 20 labs, 20 lectures halls, Ph.D scholar cubicles for more than 100 scholars. The Central library, Lecture Theater, Administration block and residential buildings are equipped with all facilities. An indoor auditorium, sports pavilion and various recreational facilities were also constructed during the said above period. Student Activity Centre, Market Complex, Swimming Pool, Squash Court, Health Centre, Shopping Complex and other amenities are constructed and operational throughout the day to facilitate the campus dwellers. Sports facilities within the main campus, with a 500 Â seat sports complex was built to cater the needs of sports activities for campus residents.",facilities atIIIT ALLAHABAD or IIIT A campus?,CAMPUS FACILITY
,IIIT Allahabad does its best to connect all inmates to the central city. The students have access to a regular bus service from the Jhalwa campus to central Allahabad. The institute also runs a bus service for all employees living in the city. Arrangements are made to facilitate school going children in campus for meeting their daily need to go to and from the school to the campus. The institute has its own arrangements for meeting transportation needs of all visiting faculty and other eminent personals coming to the institute from time to time. A dedicated transportation cell carries the coordination of all transportation issues.,Transport facility at IIIT A?,CAMPUS FACILITY
,"The institute has a 40-room air-conditioned guest house setup with 8 suites for facilitating the accommodation of visiting guests. Also 24 units Faculty Hostels with two-room units meant for visiting faculty was also constructed with plinth area of 2600sq. mtrs. Further, IIIT-Allahabad has a 426 sq.mtrs Executive Guest House for special dignitaries/guests. All these accommodations are spacious and provided with computers, along with 24-hour backup power and water supply.",tell me about  Guest House of IIIT ALLAHABAD?,CAMPUS FACILITY
,"Established in the session 2003-04 inside the campus of IIIT Allahabad, which provides school education from Class 1 to Class 12.Within a short span of time the Vidyalaya is expanding in magnificent way in terms of peaceful surroundings, performance of students and quality faculty members.It got accolade on multiple occasions as the best Kendriya Vidyalaya in KV-Varanasi Zone.
",tell me about Kendriya Vidyalaya Jhalwa?,CAMPUS FACILITY
,Dr. Prasanna Mishra is the Chairman of the Council of Wardens.,Who is the Chairman of the Council of Wardens?,COUNCIL OF WARDENS
,Dr. Sunny Sharma is the Warden for Boys Hostel - I.,Who is the Warden for Boys Hostel - I?,COUNCIL OF WARDENS
,Dr. Srijit Bhattacharya is the Warden for Boys Hostel - II.,Who is the Warden for Boys Hostel - II?,COUNCIL OF WARDENS
,Dr. Anshu S. Anand is the Warden for Boys Hostel - III.,Who is the Warden for Boys Hostel - III?,COUNCIL OF WARDENS
,Dr. Mohd. Javed is the Warden for Boys Hostel - IV.,Who is the Warden for Boys Hostel - IV?,COUNCIL OF WARDENS
,Dr. Amar Nath Yadav and Dr. Kavindra Kandpal are the Wardens for Boys Hostel - V.,Who are the Wardens for Boys Hostel - V?,COUNCIL OF WARDENS
,Dr. Anjali Gautam is the Warden for Girls Hostel - I.,Who is the Warden for Girls Hostel - I?,COUNCIL OF WARDENS
,Dr. Seema Kushwaha is the Warden for Girls Hostel - II,Who is the Warden for Girls Hostel - II?,COUNCIL OF WARDENS
,Dr. Savitri Joshi is the Warden for Girls Hostel - III.,Who is the Warden for Girls Hostel - III?,COUNCIL OF WARDENS
,"During the early days in the year 1999, the institute had started in a modest rented setup at Nehru Science Centre (NSC) of Allahabad University campus. The NSC complex included five workshops, eight computer laboratories, five lecture halls, a conference room, auditorium, library, cafeteria, office space and other facilities. The total covered area was about 25,000 sq.ft. Besides this, there was an open space of 50,000 sq.ft. that was used for parking, lawns and sporting activities.Later, IIIT Allahabad was established at Jhalwa in the outskirts of Allahabad, spread in a sprawling 100 acres land near Devghat. The architecture of this institution is unique and contemporary in nature and makes a statement about the Fibonacci series of binary bits, in a serious deviation from the established pattern. Instead of the traditional geometric lines, the campus and other buildings have been styled on patterns developed by internationally acclaimed scholar and mathematician, Roger Penrose.Initially, apart from the Bachelor of Technology (B.Tech) in Information Technology, IIIT Allahabad was offering a specialized MasterÂs Degree (M.Tech in IT) in three specializations namely, Intelligent Systems, Wireless Communication and Bioinformatics. Later, three new post graduate course works were added as MS in Cyber Law, MBA in IT and M.Tech in Software Engineering. In due course, other specialization topics were added into the pool of M.Tech with specializations like Robotics, Human Computer Interaction and Microelectronics.During the period (2008-2014 ), IIIT Allahabad became the only institute to organize 7 consecutive Science Conclaves, a meeting wherein noble laureates, Turing awardees, best scientists from India and abroad world come at a common platform to inspire and impart knowledge to the budding engineers. The infrastructure built was proposed to accommodate the needs of the institute for more than a decade.",how is infrastructure at IIIT ALLAHABAD?,INFRASTRUCTURE
," Initially, IIIT-Allahabad was set up in a rented space at Nehru Science Centre (NSC) within Allahabad University campus. The NSC complex included workshops, computer laboratories, lecture halls, a conference room, auditorium, library, cafeteria, office space, and other facilities, covering a total area of about 25,000 sq.ft. Additionally, there was an open space of 50,000 sq.ft. used for parking, lawns, and sporting activities.",What were the initial facilities and setup of IIIT-Allahabad at Nehru Science Centre (NSC) in 1999?,INFRASTRUCTURE
,"The architecture of IIIT-Allahabad's campus at Jhalwa is unique and contemporary, deviating from traditional geometric lines. It is styled on patterns developed by Roger Penrose, an internationally acclaimed scholar and mathematician, showcasing the Fibonacci series of binary bits.
",What is the unique architectural feature of IIIT-Allahabad's campus at Jhalwa?,INFRASTRUCTURE
,"Apart from B.Tech in Information Technology, IIIT-Allahabad initially offered a specialized Master's Degree (M.Tech) in three specializations: Intelligent Systems, Wireless Communication, and Bioinformatics.
"," What degree programs were initially offered by IIIT-Allahabad besides B.Tech in Information Technology?
",INFRASTRUCTURE
,"IIIT-Allahabad added three new postgraduate courses, including MS in Cyber Law, MBA in IT, and M.Tech in Software Engineering, expanding its educational offerings.",What new postgraduate courses were added later by IIIT-Allahabad?,INFRASTRUCTURE
